experiment,sweep_id,repeat_index,M,N,K,iters,flops,dtype,locality,operand_dist_a,operand_dist_b,util_frac,energy_j,duration_s,mean_power_w,meter_method,r_j_per_flop,gpu_name,gpu_uuid,driver_version,cuda_version,torch_version,persistence_mode,sm_clock_mhz,mem_clock_mhz,power_limit_w,temperature_c,throttled,throttle_reasons,clocks_locked,timestamp_utc
2,b835c2c71f65,0,8192,8192,8192,387,425510999949312,fp16,dram,sparse_struct,sparse_struct,,598.305,1.4409347350010648,415.220055056524,nvml_energy_counter,1.4060858592874724e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,65.0,False,0,False,2026-06-18T02:34:06.785151+00:00
2,b835c2c71f65,1,8192,8192,8192,387,425510999949312,fp16,dram,sparse_struct,sparse_struct,,598.844,1.4409661839599721,415.58504749521245,nvml_energy_counter,1.407352571546531e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,65.0,False,0,False,2026-06-18T02:34:06.785151+00:00
2,b835c2c71f65,2,8192,8192,8192,387,425510999949312,fp16,dram,sparse_struct,sparse_struct,,598.943,1.4409562250366434,415.65662411761946,nvml_energy_counter,1.4075852329818681e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,65.0,False,0,False,2026-06-18T02:34:06.785151+00:00
2,b835c2c71f65,3,8192,8192,8192,387,425510999949312,fp16,dram,sparse_struct,sparse_struct,,641.207,1.441062174970284,444.9544309309362,nvml_energy_counter,1.5069105148313023e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,65.0,False,0,False,2026-06-18T02:34:06.785151+00:00
2,b835c2c71f65,0,8192,8192,8192,384,422212465065984,fp16,dram,zeros,zeros,,382.489,1.4286862579756416,267.7207804476,nvml_energy_counter,9.059159348604831e-13,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,54.0,False,0,False,2026-06-18T02:34:18.301918+00:00
2,b835c2c71f65,1,8192,8192,8192,384,422212465065984,fp16,dram,zeros,zeros,,383.276,1.4286525450297631,268.2779667690406,nvml_energy_counter,9.077799253039606e-13,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,54.0,False,0,False,2026-06-18T02:34:18.301918+00:00
2,b835c2c71f65,2,8192,8192,8192,384,422212465065984,fp16,dram,zeros,zeros,,383.822,1.4286836240207776,268.6543007470057,nvml_energy_counter,9.09073113083044e-13,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,54.0,False,0,False,2026-06-18T02:34:18.301918+00:00
2,b835c2c71f65,3,8192,8192,8192,384,422212465065984,fp16,dram,zeros,zeros,,385.463,1.4287402700283565,269.7922135227207,nvml_energy_counter,9.129597818476518e-13,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,54.0,False,0,False,2026-06-18T02:34:18.301918+00:00
2,b835c2c71f65,0,8192,8192,8192,389,427710023204864,fp16,dram,declared_typical,declared_typical,,749.05,1.5470308659714647,484.18555600675154,nvml_energy_counter,1.7513033582596706e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1320,1593,500.0,72.0,True,4,False,2026-06-18T02:34:30.759169+00:00
2,b835c2c71f65,1,8192,8192,8192,389,427710023204864,fp16,dram,declared_typical,declared_typical,,750.365,1.5498484310228378,484.15379528744575,nvml_energy_counter,1.7543778711975406e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1320,1593,500.0,72.0,True,4,False,2026-06-18T02:34:30.759169+00:00
2,b835c2c71f65,2,8192,8192,8192,389,427710023204864,fp16,dram,declared_typical,declared_typical,,750.95,1.5465287400293164,485.5713188917296,nvml_energy_counter,1.7557456202991786e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1320,1593,500.0,72.0,True,4,False,2026-06-18T02:34:30.759169+00:00
2,b835c2c71f65,3,8192,8192,8192,389,427710023204864,fp16,dram,declared_typical,declared_typical,,800.973,1.549560048035346,516.9034920689498,nvml_energy_counter,1.8727010276688115e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1320,1593,500.0,72.0,True,4,False,2026-06-18T02:34:30.759169+00:00
2,b835c2c71f65,0,8192,8192,8192,380,417814418554880,fp16,dram,dense_random,dense_random,,745.838,1.5149184109759517,492.32882417707947,nvml_energy_counter,1.7850939720550453e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1320,1593,500.0,74.0,True,4,False,2026-06-18T02:34:42.961493+00:00
2,b835c2c71f65,1,8192,8192,8192,380,417814418554880,fp16,dram,dense_random,dense_random,,748.22,1.5139057739870623,494.2315518286637,nvml_energy_counter,1.7907950677908958e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1320,1593,500.0,74.0,True,4,False,2026-06-18T02:34:42.961493+00:00
2,b835c2c71f65,2,8192,8192,8192,380,417814418554880,fp16,dram,dense_random,dense_random,,749.433,1.5140793310129084,494.9760456069595,nvml_energy_counter,1.7936982706152393e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1320,1593,500.0,74.0,True,4,False,2026-06-18T02:34:42.961493+00:00
2,b835c2c71f65,3,8192,8192,8192,380,417814418554880,fp16,dram,dense_random,dense_random,,749.485,1.513219460961409,495.29167403373344,nvml_energy_counter,1.7938227277849556e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1320,1593,500.0,74.0,True,4,False,2026-06-18T02:34:42.961493+00:00
