experiment,sweep_id,repeat_index,M,N,K,iters,flops,dtype,locality,operand_dist_a,operand_dist_b,util_frac,energy_j,duration_s,mean_power_w,meter_method,r_j_per_flop,gpu_name,gpu_uuid,driver_version,cuda_version,torch_version,persistence_mode,sm_clock_mhz,mem_clock_mhz,power_limit_w,temperature_c,throttled,throttle_reasons,clocks_locked,timestamp_utc
3,016bc12dea38,0,8192,8192,8192,16,140737488355328,fp16,dram,dense_random,dense_random,0.125,509.897,4.033592832973227,126.41261057183766,nvml_energy_counter,3.623036093358678e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1275,1593,500.0,45.0,False,0,False,2026-06-18T02:35:05.747582+00:00
3,016bc12dea38,1,8192,8192,8192,16,140737488355328,fp16,dram,dense_random,dense_random,0.125,519.125,4.034428367973305,128.6737432546813,nvml_energy_counter,3.68860497701462e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1275,1593,500.0,45.0,False,0,False,2026-06-18T02:35:05.747582+00:00
3,016bc12dea38,2,8192,8192,8192,16,140737488355328,fp16,dram,dense_random,dense_random,0.125,521.588,4.033984211971983,129.29847331877025,nvml_energy_counter,3.706105644596391e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1275,1593,500.0,45.0,False,0,False,2026-06-18T02:35:05.747582+00:00
3,016bc12dea38,3,8192,8192,8192,16,140737488355328,fp16,dram,dense_random,dense_random,0.125,525.982,4.033957684994675,130.3885764485143,nvml_energy_counter,3.73732689240569e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1275,1593,500.0,45.0,False,0,False,2026-06-18T02:35:05.747582+00:00
3,016bc12dea38,0,8192,8192,8192,45,395824185999360,fp16,dram,dense_random,dense_random,0.375,985.5,3.9224651390104555,251.24506275372997,nvml_energy_counter,2.489741746103391e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,49.0,False,0,False,2026-06-18T02:35:37.200438+00:00
3,016bc12dea38,1,8192,8192,8192,45,395824185999360,fp16,dram,dense_random,dense_random,0.375,989.246,3.9222309719771147,252.21513140551784,nvml_energy_counter,2.4992055437501727e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,49.0,False,0,False,2026-06-18T02:35:37.200438+00:00
3,016bc12dea38,2,8192,8192,8192,45,395824185999360,fp16,dram,dense_random,dense_random,0.375,989.456,3.9207674940116704,252.3628349580106,nvml_energy_counter,2.4997360823262068e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,49.0,False,0,False,2026-06-18T02:35:37.200438+00:00
3,016bc12dea38,3,8192,8192,8192,45,395824185999360,fp16,dram,dense_random,dense_random,0.375,990.453,3.9211772350245155,252.59072483465735,nvml_energy_counter,2.5022548773752836e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,49.0,False,0,False,2026-06-18T02:35:37.200438+00:00
3,016bc12dea38,0,8192,8192,8192,65,571746046443520,fp16,dram,dense_random,dense_random,0.5,1242.231,4.068228313000873,305.3493817026423,nvml_energy_counter,2.172697140150166e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,53.0,False,0,False,2026-06-18T02:36:09.848901+00:00
3,016bc12dea38,1,8192,8192,8192,65,571746046443520,fp16,dram,dense_random,dense_random,0.5,1270.998,4.068767950986512,312.379082638968,nvml_energy_counter,2.2230114364692084e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,53.0,False,0,False,2026-06-18T02:36:09.848901+00:00
